company_name,sector,revenue,ebitda,ebitda_margin,net_profit_margin,debt_to_equity,interest_coverage,current_ratio,quick_ratio,roa,roe,operating_cash_flow,total_debt,dscr,promoter_holding,company_age,market_cap,external_macro_risk_flag,qualitative_risk_score,credit_rating
LIC Housing Finance,Banking & Financial Services,10276.49,1424.68,10.18,6.09,2.36,2.73,1.12,1.08,3.34,8.9,969.25,18470.07,0.98,51.82,40.76,5751.23,0,6.1,BB
Dabur India,FMCG,21215.64,14450.02,16.64,10.1,0.32,4.48,1.12,1.52,15.0,13.53,-667.03,41499.99,2.22,67.59,28.62,31045.53,0,4.1,A-
Biocon,Pharmaceuticals,3317.74,226.15,4.2,-2.82,2.82,0.11,0.81,0.71,1.45,5.36,180.49,21357.97,1.03,41.69,17.57,4876.06,1,6.4,B+
Bharti Airtel,Telecom,19203.62,4092.18,20.45,5.19,0.84,4.05,1.38,0.53,5.75,5.44,798.54,36220.18,2.71,33.41,20.71,20639.34,0,4.6,BBB-
Pidilite Industries,Chemicals,38077.9,24841.08,22.75,18.89,0.2,9.49,1.37,1.18,13.52,17.8,9085.37,13015.0,3.58,61.01,56.74,10.0,0,2.6,AA+
NOCIL,Chemicals,740.68,-338.65,-15.86,-27.44,5.42,-1.12,0.57,0.13,-12.25,-28.17,180.18,6498.46,0.24,30.32,10.0,326.25,1,9.3,D
Cipla,Pharmaceuticals,12271.2,1384.81,10.94,0.62,1.22,3.71,1.11,0.65,5.15,7.85,1146.89,14619.53,1.1,39.63,10.0,7472.44,1,8.0,BB+
Petronet LNG,Energy & Oil,8430.0,-667.34,9.62,12.22,2.32,1.35,1.3,0.65,0.97,5.95,854.92,10.0,0.86,42.14,14.73,10368.87,0,7.1,BB
Dalmia Bharat,Cement,20406.02,25499.14,14.71,11.63,0.58,14.99,2.36,1.83,11.05,13.89,8059.17,7457.08,2.52,62.02,25.15,119173.24,0,2.7,AA
Ambuja Cements,Cement,21203.71,13829.77,21.62,16.94,0.57,6.11,1.41,1.16,7.34,12.1,1137.99,6797.24,0.93,39.32,39.53,2045.04,0,4.9,A-
Larsen & Toubro,Infrastructure & Construction,18543.07,8944.71,23.21,14.65,0.34,5.54,1.15,2.16,4.01,10.81,1837.6,5550.09,3.88,81.07,26.29,10387.31,0,3.3,A
Hindustan Zinc,Steel & Metals,3050.9,172.05,5.89,2.19,2.76,0.84,0.68,0.7,1.02,6.55,437.02,625.9,0.44,23.67,10.0,4888.13,0,8.4,B-
Tips Industries,Media & Entertainment,18964.87,3417.3,21.0,9.41,1.23,5.28,1.43,0.92,3.32,13.11,4726.69,19392.95,2.45,24.36,23.45,19398.58,0,6.9,BBB
Jio Platforms,Telecom,7669.04,873.82,10.1,-2.01,1.34,2.79,0.99,0.63,4.96,11.02,1110.19,11448.83,1.13,30.74,10.04,1733.5,1,5.7,BB-
Vardhman Textiles,Textiles,1853.31,8487.31,21.17,18.8,0.6,6.59,1.93,1.21,9.86,18.1,7309.64,24165.4,2.51,35.59,22.33,31339.77,0,3.9,A-
Gujarat Gas,Energy & Oil,51539.3,3413.72,21.42,7.86,0.71,4.62,2.04,1.06,10.53,14.02,3401.59,9200.42,3.0,62.74,35.28,117164.95,0,3.3,A+
Ramco Cements,Cement,11819.73,3939.39,10.81,11.5,1.34,3.81,1.61,1.43,5.34,10.66,5215.7,31610.6,1.64,48.06,25.95,25427.19,0,3.8,BBB+
Vedanta,Steel & Metals,27815.25,7246.83,21.14,18.54,0.47,10.59,1.59,1.42,12.76,20.38,6652.56,23939.95,6.0,57.82,31.6,89574.26,0,2.4,AA+
Sobha Limited,Real Estate,7843.23,45.24,6.15,3.55,1.7,1.55,1.11,0.81,4.33,6.7,1039.46,10584.0,1.37,47.26,24.93,12280.76,0,6.4,BB-
Cholamandalam Investment,Banking & Financial Services,17449.39,5127.02,11.74,6.11,1.27,4.0,1.15,0.98,4.81,4.35,2104.73,18112.19,1.72,64.99,11.84,7630.66,0,4.6,BBB
HDFC Life Insurance,Banking & Financial Services,6021.78,792.02,14.43,6.58,1.85,1.7,1.41,0.8,1.77,1.85,535.21,23546.44,1.88,42.86,11.88,890.21,1,5.1,BB+
Adani Ports,Infrastructure & Construction,39906.21,11179.7,22.18,11.12,0.97,6.34,1.49,1.95,7.12,18.1,-3674.46,47147.06,3.98,52.36,38.71,66755.46,0,3.9,A
Phoenix Mills,Real Estate,787.05,-282.63,1.76,-5.13,2.94,0.08,0.55,0.44,-8.0,-6.22,98.74,9382.28,0.6,24.35,10.0,218.2,0,7.9,C
Zensar Technologies,IT & Technology,5049.32,375.04,0.79,-0.83,3.61,1.1,0.7,0.65,0.78,16.82,285.54,8955.0,1.16,7.38,12.57,7986.07,1,6.1,B
Zydus Lifesciences,Pharmaceuticals,6020.41,2363.61,11.5,1.48,1.39,1.55,1.24,1.07,4.58,8.37,1.01,2720.67,1.36,23.16,16.2,9824.9,0,5.7,BB
Indian Oil Corporation,Energy & Oil,47646.97,17525.55,31.37,18.43,0.51,7.76,1.66,1.4,12.23,19.35,-1599.41,12571.88,5.0,58.79,20.74,241349.27,0,2.8,AA-
